Hour,GEN-ADJ Sum (MW)
20250101_0000,177.2
20250101_0100,177.2
20250101_0200,177.2
20250101_0300,177.2
20250101_0400,177.2
20250101_0500,177.2
20250101_0600,177.2
20250101_0700,177.2
20250101_0800,177.2
20250101_0900,177.2
20250101_1000,177.2
20250101_1100,177.2
20250101_1200,177.2
20250101_1300,177.2
20250101_1400,177.2
20250101_1500,177.2
20250101_1600,177.2
20250101_1700,177.2
20250101_1800,177.2
20250101_1900,177.2
20250101_2000,177.2
20250101_2100,177.2
20250101_2200,177.2
20250101_2300,177.2
20250102_0000,177.2
20250102_0100,177.2
20250102_0200,177.2
20250102_0300,177.2
20250102_0400,177.2
20250102_0500,177.2
20250102_0600,177.2
20250102_0700,177.2
20250102_0800,177.2
20250102_0900,177.2
20250102_1000,177.2
20250102_1100,177.2
20250102_1200,177.2
20250102_1300,177.2
20250102_1400,177.2
20250102_1500,177.2
20250102_1600,177.2
20250102_1700,177.2
20250102_1800,177.2
20250102_1900,177.2
20250102_2000,177.2
20250102_2100,177.2
20250102_2200,177.2
20250102_2300,177.2
20250103_0000,177.2
20250103_0100,177.2
20250103_0200,177.2
20250103_0300,177.2
20250103_0400,177.2
20250103_0500,177.2
20250103_0600,177.2
20250103_0700,177.2
20250103_0800,177.2
20250103_0900,177.2
20250103_1000,177.2
20250103_1100,177.2
20250103_1200,177.2
20250103_1300,177.2
20250103_1400,177.2
20250103_1500,177.2
20250103_1600,177.2
20250103_1700,177.2
20250103_1800,177.2
20250103_1900,177.2
20250103_2000,177.2
20250103_2100,177.2
20250103_2200,177.2
20250103_2300,177.2
20250104_0000,177.2
20250104_0100,177.2
20250104_0200,177.2
20250104_0300,177.2
20250104_0400,177.2
20250104_0500,177.2
20250104_0600,177.2
20250104_0700,177.2
20250104_0800,177.2
20250104_0900,177.2
20250104_1000,177.2
20250104_1100,177.2
20250104_1200,177.2
20250104_1300,177.2
20250104_1400,177.2
20250104_1500,177.2
20250104_1600,177.2
20250104_1700,177.2
20250104_1800,177.2
20250104_1900,177.2
20250104_2000,177.2
20250104_2100,177.2
20250104_2200,177.2
20250104_2300,177.2
20250105_0000,177.2
20250105_0100,177.2
20250105_0200,177.2
20250105_0300,177.2
20250105_0400,177.2
20250105_0500,177.2
20250105_0600,177.2
20250105_0700,177.2
20250105_0800,177.2
20250105_0900,177.2
20250105_1000,177.2
20250105_1100,177.2
20250105_1200,177.2
20250105_1300,177.2
20250105_1400,177.2
20250105_1500,177.2
20250105_1600,177.2
20250105_1700,177.2
20250105_1800,177.2
20250105_1900,177.2
20250105_2000,177.2
20250105_2100,177.2
20250105_2200,177.2
20250105_2300,177.2
20250106_0000,177.2
20250106_0100,177.2
20250106_0200,177.2
20250106_0300,177.2
20250106_0400,177.2
20250106_0500,177.2
20250106_0600,177.2
20250106_0700,177.2
20250106_0800,177.2
20250106_0900,177.2
20250106_1000,177.2
20250106_1100,177.2
20250106_1200,177.2
20250106_1300,177.2
20250106_1400,177.1
20250106_1500,178.3
20250106_1600,0
20250106_1700,178.2
20250106_1800,0
20250106_1900,0
20250106_2000,0
20250106_2100,178.3
20250106_2200,0
20250106_2300,0
20250107_0000,0
20250107_0100,0
20250107_0200,0
20250107_0300,0
20250107_0400,0
20250107_0500,0
20250107_0600,0
20250107_0700,0
20250107_0800,0
20250107_0900,0
20250107_1000,0
20250107_1100,178.2
20250107_1200,179
20250107_1300,178.4
20250107_1400,178.3
20250107_1500,178.1
20250107_1600,178.8
20250107_1700,178.8
20250107_1800,178.6
20250107_1900,178.6
20250107_2000,178.2
20250107_2100,179
20250107_2200,178.2
20250107_2300,178.6
20250108_0000,178.4
20250108_0100,178.3
20250108_0200,178.1
20250108_0300,178.2
20250108_0400,178
20250108_0500,178.4
20250108_0600,178.8
20250108_0700,178.6
20250108_0800,178.7
20250108_0900,178.3
20250108_1000,178.6
20250108_1100,178.4
20250108_1200,178.4
20250108_1300,178.9
20250108_1400,178
20250108_1500,178.8
20250108_1600,178.6
20250108_1700,178.4
20250108_1800,178.6
20250108_1900,178.5
20250108_2000,178.5
20250108_2100,178.4
20250108_2200,178.8
20250108_2300,0
20250109_0000,0
20250109_0100,0
20250109_0200,0
20250109_0300,0
20250109_0400,0
20250109_0500,0
20250109_0600,0
20250109_0700,0
20250109_0800,0
20250109_0900,0
20250109_1000,178.2
20250109_1100,0
20250109_1200,178.2
20250109_1300,0
20250109_1400,0
20250109_1500,0
20250109_1600,0
20250109_1700,0
20250109_1800,0
20250109_1900,0
20250109_2000,0
20250109_2100,0
20250109_2200,0
20250109_2300,0
20250110_0000,0
20250110_0100,0
20250110_0200,0
20250110_0300,178.2
20250110_0400,178.1
20250110_0500,178.6
20250110_0600,178.3
20250110_0700,178.2
20250110_0800,178.1
20250110_0900,178.1
20250110_1000,0
20250110_1100,0
20250110_1200,178.8
20250110_1300,178.3
20250110_1400,178.3
20250110_1500,178.4
20250110_1600,0
20250110_1700,0
20250110_1800,0
20250110_1900,0
20250110_2000,0
20250110_2100,0
20250110_2200,0
20250110_2300,0
20250111_0000,0
20250111_0100,177.5
20250111_0200,177.5
20250111_0300,177.2
20250111_0400,177.2
20250111_0500,177.2
20250111_0600,177.2
20250111_0700,177.2
20250111_0800,177.2
20250111_0900,177.2
20250111_1000,177.2
20250111_1100,177.2
20250111_1200,177.2
20250111_1300,177.2
20250111_1400,177.2
20250111_1500,177.2
20250111_1600,177.2
20250111_1700,177.2
20250111_1800,177.2
20250111_1900,177.2
20250111_2000,177.2
20250111_2100,177.2
20250111_2200,177.2
20250111_2300,177.2
20250112_0000,177.2
20250112_0100,177.2
20250112_0200,177.2
20250112_0300,177.2
20250112_0400,177.2
20250112_0500,177.2
20250112_0600,177.2
20250112_0700,177.2
20250112_0800,177.2
20250112_0900,177.3
20250112_1000,177.3
20250112_1100,0
20250112_1200,0
20250112_1300,0
20250112_1400,0
20250112_1500,0
20250112_1600,0
20250112_1700,0
20250112_1800,0
20250112_1900,0
20250112_2000,178.6
20250112_2100,178.6
20250112_2200,178.5
20250112_2300,178.6
20250113_0000,178.3
20250113_0100,178.2
20250113_0200,0
20250113_0300,0
20250113_0400,178.4
20250113_0500,0
20250113_0600,0
20250113_0700,0
20250113_0800,0
20250113_0900,0
20250113_1000,0
20250113_1100,0
20250113_1200,0
20250113_1300,0
20250113_1400,178.4
20250113_1500,178.5
20250113_1600,178.3
20250113_1700,178.4
20250113_1800,178.2
20250113_1900,178.2
20250113_2000,178.8
20250113_2100,178.7
20250113_2200,179
20250113_2300,0
20250114_0000,178.7
20250114_0100,178.5
20250114_0200,178.7
20250114_0300,0
20250114_0400,0
20250114_0500,178.8
20250114_0600,178.5
20250114_0700,178.9
20250114_0800,178.3
20250114_0900,178.7
20250114_1000,178.9
20250114_1100,0
20250114_1200,178.1
20250114_1300,178.3
20250114_1400,179
20250114_1500,178.4
20250114_1600,179.7
20250114_1700,178.2
20250114_1800,178.8
20250114_1900,178.2
20250114_2000,178.3
20250114_2100,0
20250114_2200,0
20250114_2300,178.2
20250115_0000,178.2
20250115_0100,178.6
